Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area_sort,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,22,640,319,87,84,7308,19,2,0,0,0,,0,1,3087,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,23,910,139,64,59,3776,31,14,0,0,0,,0,1,3104,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,24,519,338,123,69,8487,39,33,0,0,0,,0,1,3111,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,25,845,199,60,110,6600,6,29,0,0,0,,0,1,3116,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,26,1,139,58,35,2030,45,14,0,0,0,,0,1,3120,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,27,431,17,34,84,2856,544,373,0,0,0,,0,1,3124,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,28,330,105,50,98,4900,42,74,0,0,0,,0,1,3132,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,29,450,215,115,32,3680,4,30,0,0,0,,0,1,3132,,382,38,378.0846466,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,1,623,13,43,98,4214,24,81,0,0,0,,0,1,3136,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,2,639,210,51,125,6375,50,22,0,0,0,,0,1,3154,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,3,25,10,87,130,11310,56,65,0,0,0,,0,1,3160,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,4,756,79,42,105,4410,23,68,0,0,0,,0,1,3168,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,5,632,73,32,68,2176,24,43,0,0,0,,0,1,3185,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,6,129,65,65,63,4095,17,5,0,0,0,,0,1,3186,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,7,772,67,87,103,8961,37,82,0,0,0,,0,1,3195,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,8,602,14,72,49,3528,103,150,0,0,0,,0,1,3198,,,,,,,,,,,,,,
