Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area
14,Smart Trackpad,2D Task,2D Target Selection Task,3,830,25,32,67,2144,0,40,0,0,0,,0,1,11025
14,Smart Trackpad,2D Task,2D Target Selection Task,4,159,310,56,103,5768,37,41,0,0,0,,0,1,11036
14,Smart Trackpad,2D Task,2D Target Selection Task,6,265,255,78,41,3198,26,23,0,0,0,,0,1,11058
14,Smart Trackpad,2D Task,2D Target Selection Task,7,491,51,86,62,5332,69,38,0,0,0,,0,1,11124
14,Smart Trackpad,2D Task,2D Target Selection Task,8,80,208,46,120,5520,35,40,200,384,381.5245733,,1,1,11130
15,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,549,233,130,34,4420,50,7,0,0,0,,0,1,11172
15,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,576,305,63,98,6174,26,23,0,0,0,,0,1,11286
15,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,890,162,50,123,6150,35,67,0,0,0,,0,1,11300
15,Smart Tilt Pointer,2D Task,2D Target Selection Task,5,43,48,37,67,2479,9,0,0,0,0,,0,1,11310
15,Smart Tilt Pointer,2D Task,2D Target Selection Task,6,120,106,61,39,2379,19,26,121,258,253.4324368,,1,1,11316
15,Smart Tilt Pointer,2D Task,2D Target Selection Task,10,267,311,36,45,1620,22,28,45,313,285.926564,,1,1,11570
15,Smart Tilt Pointer,2D Task,2D Target Selection Task,11,90,3,36,123,4428,23,72,0,0,0,,0,1,11610
15,Smart Trackpad,2D Task,2D Target Selection Task,1,83,167,118,48,5664,97,33,0,0,0,,0,1,11648
15,Smart Trackpad,2D Task,2D Target Selection Task,2,549,39,84,61,5124,46,44,0,0,0,,0,1,11730
15,Smart Trackpad,2D Task,2D Target Selection Task,4,560,284,88,30,2640,38,18,0,0,0,,0,1,11772
15,Smart Trackpad,2D Task,2D Target Selection Task,5,311,280,60,31,1860,45,12,28,356,344.419802,,1,1,11800
15,Smart Trackpad,2D Task,2D Target Selection Task,7,778,17,37,41,1517,113,119,0,0,0,,0,1,11948
15,Smart Trackpad,2D Task,2D Target Selection Task,8,566,291,31,125,3875,19,33,0,0,0,,0,1,12064
15,Smart Trackpad,2D Task,2D Target Selection Task,9,28,131,122,49,5978,48,35,0,0,0,,0,1,12125
